Pignatta.et.al.MEGs	Pignatta.et.al.PEGs	Hornslien.et.al.MEGs	Hornslien.et.al.PEGs	Picard.et.al.MEGs	Picard.et.al.PEGs	Del_Toro.et.al.MEGs	Del_Toro.et.al.PEGs
AT1G62333	AT3G49770	AT1G77000		AT2G28870	AT5G06280	AT3G17950	AT4G10730
AT1G62790	AT3G51120	AT1G78830		AT2G32690	AT5G10950	AT3G51238	AT3G01250
AT1G62800	AT3G51895	AT1G79530		AT2G34490	AT5G11460	AT1G73740	AT5G23380
AT1G65060	AT3G60360	AT1G80190		AT2G35670	AT5G14960	AT5G04020	AT1G67325
AT1G67265	AT4G02290	AT2G02960		AT2G37040	AT5G17510	AT2G14080	AT3G49350
AT1G67510	AT4G02480	AT2G03090		AT2G37300	AT5G20320	AT4G31000	AT2G23840
AT1G68725	AT4G02733	AT2G04620		AT2G42830	AT5G26210	AT5G13660	AT5G64130
AT1G69520	AT4G03610	AT2G13560		AT2G46960	AT5G28850	AT2G06840	AT3G11310
AT1G69820	AT4G05475	AT2G15280		AT2G47240	AT5G28900	AT5G47330	AT5G07160
AT1G70130	AT4G08590	AT2G17990		AT3G02310	AT5G38600	AT4G27280	AT1G74510
AT1G70420	AT4G10730	AT2G18280		AT3G04280	AT5G39550	AT5G42440	AT3G06950
AT1G70700	AT4G11400	AT2G18880		AT3G08770	AT5G40600	AT2G39850	AT2G23530
AT1G73090	AT4G13460	AT2G19430		AT3G09950	AT5G50350	AT1G52565	AT5G63740
AT1G73500	AT4G13490	AT2G19480		AT3G13540	AT5G50840	AT1G53640	AT1G01310
AT1G74350	AT4G13495	AT2G20780		AT3G15353	AT5G51590	AT5G07505	AT1G47920
AT1G75110	AT4G13610	AT2G24740		AT3G16370	AT5G53150	AT3G08920	AT5G24430
AT1G77090	AT4G15900	AT2G26280		AT3G18560	AT5G63740	AT5G08360	AT2G11910
AT1G77960	AT4G17486	AT2G27040		AT3G20520		AT4G32090	AT2G40520
AT1G80610	AT4G18890	AT2G28380		AT3G21500		AT1G61255	AT1G16000
AT1TE42205	AT4G20800	AT2G29570		AT3G22840		AT1G70820	AT2G17305
AT1TE52715	AT4G23110	AT2G30160		AT3G25780		AT4G23870	AT1G11482
AT1TE55920	AT4G23120	AT2G30590		AT3G26450		AT5G22460	AT5G51490
AT2G01130	AT4G25500	AT2G31360		AT3G27200		AT4G10060	AT2G42640
AT2G01300	AT4G31900	AT2G32750		AT3G28050		AT4G10655	AT5G38600
AT2G01422	AT4G33440	AT2G32990		AT3G28200		AT4G29570	AT1G67820
AT2G01670	AT5G03220	AT2G34200		AT3G28917		AT2G37130	AT5G42670
AT2G03110	AT5G10140	AT2G34260		AT3G44720		AT2G32500	AT1G61080
AT2G03810	AT5G10950	AT2G34880		AT3G49780		AT4G12870	AT5G57580
AT2G05350	AT5G11460	AT2G35010		AT3G51238		AT2G10940	AT4G11100
AT2G05370	AT5G14960	AT2G35670		AT3G52840		AT1G36730	AT4G19900
AT2G05914	AT5G22470	AT2G36010		AT3G54140		AT5G49760	AT1G17780
AT2G06050	AT5G22600	AT2G36310		AT3G55120		AT2G47485	AT3G16320
AT2G10260	AT5G23380	AT2G36760		AT3G58780		AT4G37250	AT5G50470
AT2G11810	AT5G26210	AT2G37390		AT3G62730		AT5G59700	AT2G38185
AT2G12462	AT5G39550	AT2G39220		AT4G00360		AT1G43000	AT2G38195
AT2G14850	AT5G39560	AT2G39300		AT4G00540		AT5G01750	AT5G59370
AT2G16960	AT5G50310	AT2G39650		AT4G01430		AT5G47530	AT1G65360
AT2G17690	AT5G50490	AT2G40030		AT4G01480		AT5G51950	AT1G31640
AT2G20780	AT5G52370	AT2G41040		AT4G09820		AT1G62333	AT5G28680
AT2G21130	AT5G53150	AT2G43690		AT4G09960		AT1G01490	AT3G60350
AT2G21830	AT5G57380	AT2G46650		AT4G12290		AT3G50540	AT2G40360
AT2G23080	AT5G57390	AT2G46990		AT4G12870		AT3G24480	AT5G51590
AT2G24350	AT5G60760	AT2G47230		AT4G12890		AT3G56230	AT2G01320
AT2G24740	AT5G62110	AT3G01060		AT4G12900		AT1G73620	AT5G44640
AT2G27385	AT5G63040	AT3G03305		AT4G12960		AT3G15770	AT2G25630
AT2G27389	AT5G67120	AT3G06860		AT4G14746		AT1G78450	AT5G45300
AT2G30010		AT3G07190		AT4G15160		AT1G52470	AT5G20320
AT2G31070		AT3G08040		AT4G15210		AT1G71970	AT3G62800
AT2G32150		AT3G08620		AT4G15400		AT1G20490	AT5G14960
AT2G32750		AT3G08840		AT4G15750		AT5G61120	AT2G30580
AT2G33280		AT3G11200		AT4G16563		AT5G43190	AT4G15910
AT2G34090		AT3G12110		AT4G17480		AT5G14390	AT4G35700
AT2G34880		AT3G14205		AT4G18960		AT1G18760	AT4G23110
AT2G34890		AT3G16720		AT4G22110		AT3G06130	AT4G29060
AT2G35670		AT3G17250		AT4G22880		AT4G17670	AT1G68290
AT2G36050		AT3G18210		AT4G25830		AT3G04980	AT4G02780
AT2G38250		AT3G19350		AT4G26420		AT4G13100	AT5G24280
AT2G40960		AT3G21580		AT4G27435		AT3G23950	AT1G14900
AT2G41150		AT3G21720		AT4G33220		AT3G03150	AT1G67220
AT2G41940		AT3G22680		AT4G34138		AT4G18970	AT2G32370
AT2G41990		AT3G22810		AT4G35840		AT1G35180	AT4G24650
AT2G42430		AT3G22968		AT4G36250		AT2G06140	AT5G19280
AT2G45650		AT3G23060		AT4G38770		AT1G53340	AT1G17420
AT2G45840		AT3G23780		AT4G39510		AT5G15995	AT1G36000
AT2G46735		AT3G25250		AT4G40010		AT3G20450	AT3G53130
AT2G47020		AT3G25260		AT5G01790		AT3G25130	AT5G65070
AT2G47115		AT3G25540		AT5G02540		AT5G24180	AT3G21220
AT2G48010		AT3G25710		AT5G07220		AT5G47350	AT1G22050
AT3G02110		AT3G26410		AT5G07990		AT1G61097	AT5G66850
AT3G03320		AT3G26650		AT5G08260		AT1G23880	AT1G70750
AT3G04200		AT3G26990		AT5G10180		AT1G35790	AT2G42070
AT3G04420		AT3G27150		AT5G10380		AT5G41630	AT4G08590
AT3G04980		AT3G27640		AT5G13930		AT5G27950	AT4G29460
AT3G05600		AT3G27980		AT5G14410		AT1G09440	AT2G20180
AT3G06130		AT3G43520		AT5G14920		AT4G39320	AT5G39890
AT3G07570		AT3G43540		AT5G15800		AT1G34640	AT4G15900
AT3G09050		AT3G43920		AT5G17220		AT2G30362	AT5G58600
AT3G09520		AT3G44370		AT5G20700		AT2G23910	AT5G60100
AT3G09950		AT3G45090		AT5G20740		AT2G29670	AT3G25165
AT3G10960		AT3G45870		AT5G24410		AT2G40820	AT1G47500
AT3G12690		AT3G49500		AT5G24910		AT4G13190	AT3G27460
AT3G13430		AT3G49660		AT5G26120		AT1G72645	AT1G70440
AT3G14660		AT3G49680		AT5G34862		AT3G51950	AT3G24280
AT3G15290		AT3G49730		AT5G39130		AT2G31930	AT1G73100
AT3G15820		AT3G50060		AT5G39220		AT4G26920	AT1G17770
AT3G19650		AT3G51895		AT5G42800		AT1G33470	AT2G20080
AT3G20450		AT3G53000		AT5G44360		AT4G30020	AT5G20930
AT3G20470		AT3G53370		AT5G45670		AT4G14380	AT1G57820
AT3G20620		AT3G54100		AT5G47330		AT5G01780	AT1G57800
AT3G22560		AT3G55320		AT5G47350		AT1G55450	AT2G29890
AT3G24542		AT3G55420		AT5G49180		AT2G47895	AT1G48910
AT3G26450		AT3G57220		AT5G49360		AT2G47350	
AT3G26770		AT3G58470		AT5G50790		AT4G10955	
AT3G27130		AT3G59640		AT5G51950		AT3G06990	
AT3G28155		AT3G61620		AT5G59310		AT4G15765	
