Pignatta.et.al.MEGs	Pignatta.et.al.PEGs	Hornslien.et.al.MEGs	Hornslien.et.al.PEGs	Picard.et.al.MEGs	Picard.et.al.PEGs	Del_Toro.et.al.MEGs	Del_Toro.et.al.PEGs
						AT5G62470	
						AT4G18770	
						AT1G71030	
						AT3G61950	
						AT5G11790	
						AT2G33480	
						AT4G37590	
						AT1G03080	
						AT3G20860	
						AT1G30100	
						AT1G62580	
						AT2G15620	
						AT1G52880	
						AT1G80760	
						AT2G03440	
						AT5G20730	
						AT1G15960	
						AT1G27080	
						AT2G26690	
						AT1G60030	
						AT1G12880	
						AT2G01670	
						AT5G47240	
						AT1G16390	
						AT2G40000	
						AT3G63160	
						AT5G57780	
						AT1G53840	
						AT2G26440	
						AT3G49220	
						AT5G49180	
						AT5G04810	
						AT1G73080	
						AT5G06720	
						AT3G49120	
						AT1G30490	
						AT3G10340	
						AT4G19840	
						AT1G14040	
						AT1G21980	
						AT4G24450	
						AT2G38670	
						AT1G64770	
						AT2G05070	
						AT5G48150	
						AT3G16500	
						AT1G70940	
						AT2G17440	
						AT5G19930	
						AT4G23400	
						AT2G45960	
						AT3G53420	
						AT2G39010	
						AT1G69295	
						AT3G46780	
						AT3G22200	
						AT2G28890	
						AT2G30070	
						AT1G52290	
						AT2G21140	
						AT4G38770	
						AT1G71140	
						AT1G14370	
						AT3G11410	
						AT5G50400	
						AT2G40330	
						AT1G13860	
						AT1G73640	
						AT5G45970	
						AT5G66130	
						AT2G33060	
						AT3G05650	
						AT4G04220	
						AT5G40170	
						AT5G67280	
						AT1G29750	
						AT5G02030	
						AT2G01570	
						AT1G64060	
						AT3G04280	
						AT1G47128	
						AT3G03450	
						AT5G22920	
						AT2G30520	
						AT2G46710	
						AT1G27380	
						AT3G25070	
						AT5G38420	
						AT3G55980	
						AT4G09960	
						AT4G14030	
						AT1G24260	
						AT2G22980	
						AT3G02110	
						AT5G01820	
						AT4G18060	
						AT3G58780	
						AT5G25390	
						AT3G06125	
						AT3G20520	
						AT5G04470	
						AT2G22990	
						AT1G41830	
						AT1G75580	
						AT3G60690	
						AT1G29500	
						AT2G35290	
						AT4G40010	
						AT2G22830	
						AT5G43270	
						AT3G56480	
						AT1G74020	
						AT5G51750	
						AT5G67490	
						AT1G11260	
						AT2G17690	
						AT5G57710	
						AT5G23280	
						AT2G34010	
						AT4G18390	
						AT3G14520	
						AT1G72260	
						AT1G77490	
						AT4G23020	
						AT2G36420	
						AT5G42710	
						AT3G17185	
						AT5G13930	
						AT3G55120	
						AT5G07990	
						AT4G09820	
						AT5G23260	
						AT1G70290	
						AT2G19450	
						AT1G01430	
						AT5G01360	
						AT2G34070	
						AT1G29050	
						AT1G52410	
						AT5G23860	
						AT5G53902	
						AT4G10960	
						AT4G30440	
						AT3G59360	
						AT5G39320	
						AT4G34138	
						AT1G30530	
						AT3G16520	
						AT1G34020	
						AT2G28760	
						AT1G05680	
						AT3G28070	
						AT3G21710	
						AT5G18000	
						AT2G18880	
						AT3G05270	
						AT5G67600	
						AT3G04910	
						AT3G22420	
						AT4G33560	
						AT1G32170	
						AT5G65730	
